#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
23416271|2019-11-07T21:39:37.360000|41.7773|13.5885|13.2|BULLETIN-INGV||||ML|2.6|--|4 km SE Balsorano (AQ)
23416301|2019-11-07T21:40:07.710000|41.7787|13.5998|14.0|BULLETIN-INGV||||ML|2.1|--|4 km SE Balsorano (AQ)
23416691|2019-11-07T22:45:49.230000|39.4943|15.9063|241.1|BULLETIN-INGV||||ML|3.2|--|Costa Calabra nord-occidentale (Cosenza)
23416801|2019-11-07T23:19:50.400000|41.777|13.5967|15.1|BULLETIN-INGV||||ML|3.5|--|4 km SE Balsorano (AQ)
23418291|2019-11-08T03:32:10.020000|38.0363|15.1432|5.8|BULLETIN-INGV||||ML|2.0|--|2 km NE Novara di Sicilia (ME)
23418661|2019-11-08T04:38:27.450000|41.7718|13.6173|14.5|BULLETIN-INGV||||ML|2.0|--|4 km NW Pescosolido (FR)
23418851|2019-11-08T05:20:17.030000|42.927|13.1432|7.5|BULLETIN-INGV||||ML|2.0|--|2 km S Ussita (MC)
23419211|2019-11-08T06:27:26.410000|43.5293|13.7453|7.2|BULLETIN-INGV||||ML|2.5|--|Costa Marchigiana Anconetana (Ancona)
23420951|2019-11-08T10:43:24.050000|41.7778|13.5987|13.4|BULLETIN-INGV||||ML|2.6|--|4 km SE Balsorano (AQ)
23421161|2019-11-08T11:13:37.370000|41.1332|14.0432|7.0|BULLETIN-INGV||||ML|2.3|--|6 km S Francolise (CE)
23423971|2019-11-08T19:07:44.850000|41.7785|13.5972|13.6|BULLETIN-INGV||||ML|2.3|--|4 km SE Balsorano (AQ)
23424231|2019-11-08T21:20:26.250000|42.4518|13.347|10.9|BULLETIN-INGV||||ML|2.0|--|4 km E Pizzoli (AQ)
23424621|2019-11-09T00:16:26.010000|43.9645|11.4322|5.8|BULLETIN-INGV||||ML|2.3|--|4 km E Borgo San Lorenzo (FI)
23425121|2019-11-09T04:45:27.220000|37.8638|16.4115|34.6|BULLETIN-INGV||||ML|2.9|--|Costa Calabra sud-orientale (Reggio di Calabria)
23425161|2019-11-09T04:56:34.200000|41.7798|13.5912|11.0|BULLETIN-INGV||||ML|2.4|--|4 km SE Balsorano (AQ)
23426781|2019-11-09T12:43:43.800000|41.6672|12.7472|9.6|BULLETIN-INGV||||ML|2.5|--|3 km SW Velletri (RM)
23427321|2019-11-09T14:55:13.200000|41.7852|13.6098|14.1|BULLETIN-INGV||||ML|2.6|--|4 km SE Balsorano (AQ)
23428401|2019-11-10T00:11:04.910000|42.8747|13.1177|9.9|BULLETIN-INGV||||ML|2.3|--|4 km SW Castelsantangelo sul Nera (MC)
23430141|2019-11-10T12:48:33.170000|38.769|15.5368|189.5|BULLETIN-INGV||||ML|2.6|--|Tirreno Meridionale (MARE)
23435431|2019-11-11T17:43:32.340000|37.6992|15.1833|8.7|BULLETIN-INGV||||ML|2.4|--|4 km S Giarre (CT)
23435701|2019-11-11T19:35:07.320000|46.2415|7.413|11.1|BULLETIN-INGV||||ML|2.2|--|Confine Italia-Svizzera (SVIZZERA)
23436151|2019-11-12T02:01:09.700000|46.2638|7.3938|10.9|BULLETIN-INGV||||ML|2.0|--|Confine Italia-Svizzera (SVIZZERA)
23436181|2019-11-12T03:11:04.430000|38.8168|15.2262|7.9|BULLETIN-INGV||||ML|2.2|--|Isole Eolie (Messina)
23436481|2019-11-12T07:00:45.640000|37.7702|14.9792|22.7|BULLETIN-INGV||||ML|2.6|--|12 km SE Maletto (CT)
23437081|2019-11-12T09:52:03.700000|42.9628|13.1233|11.8|BULLETIN-INGV||||ML|2.0|--|2 km NW Ussita (MC)
23438571|2019-11-12T14:36:46.420000|46.258|7.4035|11.4|BULLETIN-INGV||||ML|2.3|--|Confine Italia-Svizzera (SVIZZERA)
23439621|2019-11-12T18:52:36.830000|46.5668|10.6975|7.3|BULLETIN-INGV||||ML|2.2|--|6 km S Lasa (BZ)
23439661|2019-11-12T19:11:20.390000|43.2432|13.6613|33.2|BULLETIN-INGV||||ML|2.4|--|2 km E Montegranaro (FM)
23439951|2019-11-12T21:11:19.170000|39.7203|15.464|10.2|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
23440521|2019-11-13T02:43:06.050000|41.8632|12.7735|9.8|BULLETIN-INGV||||ML|2.4|--|4 km NE Colonna (RM)
23440541|2019-11-13T02:44:45.270000|42.1193|15.0225|8.0|BULLETIN-INGV||||ML|2.0|--|Costa Molisana (Campobasso)
23440621|2019-11-13T04:31:13.250000|46.4272|10.7945|10.8|BULLETIN-INGV||||ML|2.3|--|5 km NW Rabbi (TN)
23440781|2019-11-13T06:09:44.400000|39.7192|15.447|23.5|BULLETIN-INGV||||ML|2.6|--|Tirreno Meridionale (MARE)
23440981|2019-11-13T08:09:50.730000|38.4265|13.7713|10.3|BULLETIN-INGV||||ML|2.6|--|Tirreno Meridionale (MARE)
23441501|2019-11-13T10:25:29.700000|38.1932|15.8978|12.4|BULLETIN-INGV||||ML|2.5|--|6 km SW Delianuova (RC)
23442131|2019-11-13T13:26:11.860000|37.7387|15.1427|8.2|BULLETIN-INGV||||ML|3.1|--|1 km S Sant'Alfio (CT)
23442831|2019-11-13T18:17:54.230000|39.7267|15.4568|6.1|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
